, Population Distribution by Village/Mtaa; 2012 PHC,,,,,,,,,
Dodoma,Kongwa,Kibaigwa,Kibaigwa," 17,633 ",,,,,,
Dodoma,Kongwa,Ugogoni,Chimotolo," 2,427 ",,,,,,
Dodoma,Kongwa,Ugogoni,Machenje," 3,447 ",,,,,,
Dodoma,Kongwa,Ugogoni,Mautya," 5,150 ",,,,,,
Dodoma,Kongwa,Ugogoni,Ibwaga," 3,455 ",,,,,,
Dodoma,Kongwa,Ugogoni,Nguji," 1,626 ",,,,,,
Dodoma,Kongwa,Ugogoni,Ugogoni, 943 ,,,,,,
Dodoma,Kongwa,Chamkoroma,Chamkoroma," 2,405 ",,,,,,
Dodoma,Kongwa,Chamkoroma,Mseta bondeni, 753 ,,,,,,
Dodoma,Kongwa,Chamkoroma,Mseta," 2,253 ",,,,,,
Dodoma,Kongwa,Chamkoroma,Manghweta," 1,771 ",,,,,,
Dodoma,Kongwa,Chamkoroma,Tubugwe kibaoni," 3,034 ",,,,,,
Dodoma,Kongwa,Chamkoroma,Tubugwe juu," 2,313 ",,,,,,
Dodoma,Kongwa,Chamkoroma,Makole," 2,146 ",,,,,,
Dodoma,Kongwa,Makawa,Makawa," 3,457 ",,,,,,
Dodoma,Kongwa,Makawa,Muungano," 2,246 ",,,,,,
Dodoma,Kongwa,Makawa,Mageseni," 2,324 ",,,,,,
Dodoma,Kongwa,Makawa,Silale, 595 ,,,,,,
Dodoma,Kongwa,Chitego,Chitego," 5,407 ",,,,,,
Dodoma,Kongwa,Chitego,Leganga," 1,744 ",,,,,,
Dodoma,Kongwa,Chitego,Ngutoto," 2,648 ",,,,,,
Dodoma,Kongwa,Matongoro,Matongoro," 3,325 ",,,,,,
Dodoma,Kongwa,Matongoro,Mlanje," 2,409 ",,,,,,
Dodoma,Kongwa,Matongoro,Norini," 4,361 ",,,,,,
Dodoma,Kongwa,Ngomai,Chilanjilizi," 1,352 ",,,,,,
Dodoma,Kongwa,Ngomai,Ngomai," 6,441 ",,,,,,
Dodoma,Kongwa,Ngomai,Manyata," 2,741 ",,,,,,
Dodoma,Kongwa,Songambele,Songambele A," 6,352 ",,,,,,
Dodoma,Kongwa,Songambele,Songambele B," 6,044 ",,,,,,
Dodoma,Kongwa,Songambele,Muungano," 1,939 ",,,,,,
Dodoma,Kongwa,Songambele,Masena," 1,467 ",,,,,,
Dodoma,Kongwa,Songambele,Mtunguchole," 1,910 ",,,,,,
Dodoma,Kongwa,Chiwe,Moleti," 6,466 ",,,,,,
Dodoma,Kongwa,Chiwe,Chiwe," 7,530 ",,,,,,
Dodoma,Kongwa,Chiwe,Vihingo," 3,432 ",,,,,,
Dodoma,Kongwa,Chiwe,Lengaji," 2,051 ",,,,,,
Dodoma,Kongwa,Lenjulu,Lobilo," 3,650 ",,,,,,
Dodoma,Kongwa,Lenjulu,Lenjulu," 4,533 ",,,,,,
Dodoma,Kongwa,Lenjulu,Kiteto," 2,467 ",,,,,,
Dodoma,Kongwa,Lenjulu,Majawanga," 3,790 ",,,,,,
Dodoma,Kongwa,Nghumbi,Pembamoto," 3,485 ",,,,,,
Dodoma,Kongwa,Nghumbi,Nghumbi," 3,764 ",,,,,,
Dodoma,Kongwa,Nghumbi,Iyumbi," 2,097 ",,,,,,
Dodoma,Kongwa,Nghumbi,Mbagilwa," 2,163 ",,,,,,
Dodoma,Chamwino,Haneti,Haneti," 3,959 ",,,,,,
Dodoma,Chamwino,Haneti,Kwahemu," 4,065 ",,,,,,
Dodoma,Chamwino,Haneti,Chenene," 3,778 ",,,,,,
Dodoma,Chamwino,Haneti,Humekwa," 1,326 ",,,,,,
Dodoma,Chamwino,Segala,Segala," 4,924 ",,,,,,
Dodoma,Chamwino,Segala,Izava," 6,905 ",,,,,,
Dodoma,Chamwino,Segala,Kimeji, 962 ,,,,,,
Dodoma,Chamwino,Itiso,Itiso," 10,260 ",,,,,,
Dodoma,Chamwino,Itiso,Solowu," 2,376 ",,,,,,
Dodoma,Chamwino,Dabalo,Dabalo," 7,728 ",,,,,,
Dodoma,Chamwino,Dabalo,Manyemba," 3,026 ",,,,,,
Dodoma,Chamwino,Dabalo,Chiwondo," 2,453 ",,,,,,
Dodoma,Chamwino,Dabalo,Igamba," 2,908 ",,,,,,
Dodoma,Chamwino,Membe,Membe," 5,240 ",,,,,,
Dodoma,Chamwino,Membe,Mlimwa," 3,486 ",,,,,,
Dodoma,Chamwino,Msanga,Msanga," 5,015 ",,,,,,
Dodoma,Chamwino,Msanga,Kawawa," 4,648 ",,,,,,
Dodoma,Chamwino,Chilonwa,Mahamha," 4,002 ",,,,,,
Dodoma,Chamwino,Chilonwa,Nzali," 3,905 ",,,,,,
Dodoma,Chamwino,Buigiri,Chamwino Ikulu," 8,492 ",,,,,,
Dodoma,Chamwino,Buigiri,Buigiri," 4,924 ",,,,,,
Dodoma,Chamwino,Buigiri,Chinangali II," 3,405 ",,,,,,
Dodoma,Chamwino,Majeleko,Majeleko," 3,951 ",,,,,,
Dodoma,Chamwino,Majeleko,Chinangali I," 2,935 ",,,,,,
Dodoma,Chamwino,Manchali,Manchali B," 2,466 ",,,,,,
Dodoma,Chamwino,Manchali,Chalinze," 3,578 ",,,,,,
Dodoma,Chamwino,Manchali,Wilunze," 2,378 ",,,,,,
Dodoma,Chamwino,Manchali,Manchali A," 2,063 ",,,,,,
Dodoma,Chamwino,Ikowa,Ikowa," 3,340 ",,,,,,
Dodoma,Chamwino,Ikowa,Makoja," 2,985 ",,,,,,
Dodoma,Chamwino,Msamalo,Mgunda," 6,997 ",,,,,,
Dodoma,Chamwino,Msamalo,Mnase," 4,222 ",,,,,,
Dodoma,Chamwino,Msamalo,Mlebe," 2,923 ",,,,,,
Dodoma,Chamwino,Igandu,Igandu," 6,553 ",,,,,,
Dodoma,Chamwino,Igandu,Nghaheleze," 6,300 ",,,,,,
Dodoma,Chamwino,Igandu,Chinoje," 2,027 ",,,,,,
Dodoma,Chamwino,Muungano,Muungano," 5,133 ",,,,,,
Dodoma,Chamwino,Muungano,Mzula," 2,212 ",,,,,,
Dodoma,Chamwino,Muungano,Ilolo," 3,400 ",,,,,,
Dodoma,Chamwino,Mvumi Makulu,Mvumimakulu," 7,460 ",,,,,,
Dodoma,Chamwino,Handali,Handali," 6,610 ",,,,,,
Dodoma,Chamwino,Handali,Chanhumba," 3,244 ",,,,,,
Dodoma,Chamwino,Mvumi Mission,Mvumi Mission," 12,603 ",,,,,,
Dodoma,Chamwino,Mvumi Mission,Ndebwe," 3,911 ",,,,,,
Dodoma,Chamwino,Idifu,Idifu," 5,270 ",,,,,,
Dodoma,Chamwino,Idifu,Miganga," 4,339 ",,,,,,
Dodoma,Chamwino,Makang'wa,Mkang'wa," 7,303 ",,,,,,
Dodoma,Chamwino,Makang'wa,Mlowabarabarani," 7,669 ",,,,,,
Dodoma,Chamwino,Makang'wa,Mloda," 5,365 ",,,,,,
Dodoma,Chamwino,Iringa Mvumi Zamani,Iringa Mvumi Zamani," 2,285 ",,,,,,
Dodoma,Chamwino,Iringa Mvumi Zamani,Ikombolingo," 4,236 ",,,,,,
Dodoma,Chamwino,Iringa Mvumi Zamani,Chita," 1,891 ",,,,,,
Dodoma,Chamwino,Iringa Mvumi Zamani,Chita," 2,901 ",,,,,,
Dodoma,Chamwino,Manzase,Manzase," 5,555 ",,,,,,
Dodoma,Chamwino,Manzase,Sasajila," 3,871 ",,,,,,
Dodoma,Chamwino,Manzase,Ilewelo," 2,059 ",,,,,,
Dodoma,Chamwino,Fufu,Fufu," 1,854 ",,,,,,
Dodoma,Chamwino,Fufu,Suli," 1,615 ",,,,,,
Dodoma,Chamwino,Mlowa Bwawani,Mlowa Bwawani," 6,432 ",,,,,,
Dodoma,Chamwino,Mlowa Bwawani,Wiliko," 2,599 ",,,,,,
Dodoma,Chamwino,Mpwayungu,Mpwayungu," 9,055 ",,,,,,
Dodoma,Chamwino,Mpwayungu,Nagulo," 3,579 ",,,,,,
Dodoma,Chamwino,Nghambaku,Nghambaku," 2,863 ",,,,,,
Dodoma,Chamwino,Nghambaku,Ndogowe," 4,476 ",,,,,,
Dodoma,Chamwino,Chinugulu,Chinugulu," 5,216 ",,,,,,
Dodoma,Chamwino,Manda,Manda," 5,488 ",,,,,,
Dodoma,Chamwino,Manda,Ilangali," 4,386 ",,,,,,
Dodoma,Chamwino,Huzi,Huzi," 4,393 ",,,,,,
Dodoma,Chamwino,Huzi,Chifukulo," 3,196 ",,,,,,
Dodoma,Chamwino,Loje,Loje," 3,444 ",,,,,,
Dodoma,Chamwino,Loje,Igunguli," 1,690 ",,,,,,
Dodoma,Chamwino,Chiboli,Nzasa," 1,384 ",,,,,,
Dodoma,Chamwino,Chiboli,Chiboli," 3,295 ",,,,,,
Dodoma,Chamwino,Nhinhi,Nhinhi," 4,586 ",,,,,,
Dodoma,Chamwino,Nhinhi,Nkwenda," 2,617 ",,,,,,
Dodoma,Chamwino,Zajilwa,Magungu," 1,452 ",,,,,,
Dodoma,Chamwino,Zajilwa,Gwandi," 3,254 ",,,,,,
Dodoma,Chamwino,Zajilwa,zajilwa," 5,847 ",,,,,,
Dodoma,Dodoma Mjini,Viwandani,Marijani, 733 ,,,,,,
Dodoma,Dodoma Mjini,Viwandani,Samora, 877 ,,,,,,
